Member_number,Date,productId,items
4389,13-04-2015,56,2
1674,04-12-2015,19,1
4262,16-10-2015,57,2
2082,07-04-2015,9,2
4494,06-01-2015,58,3
2460,28-09-2015,25,3
4509,29-11-2015,1,3
2267,03-07-2015,57,3
4891,05-09-2015,2,1
3962,20-09-2015,19,3
4964,18-07-2015,9,2
2914,30-11-2015,57,1
2808,05-05-2015,22,2
1085,15-08-2015,22,2
3808,18-08-2015,2,2
4149,07-01-2015,7,3
2331,05-06-2015,7,3
4475,03-04-2015,4,1
2761,25-04-2015,7,1
2620,14-12-2015,19,3
3206,13-10-2015,9,2
1226,13-04-2015,59,1
1395,07-03-2015,60,3
2465,07-06-2015,30,3
3572,09-07-2015,23,3
4387,08-05-2015,2,2
1555,27-03-2015,5,3
1181,16-11-2015,19,3
2814,11-05-2015,58,3
2794,16-09-2015,61,3
2912,28-01-2015,3,1
4667,12-01-2015,22,1
2235,25-10-2015,38,3
2353,02-05-2015,38,2
3449,08-03-2015,19,1
1058,10-11-2015,22,3
1027,17-05-2015,23,1
3302,22-05-2015,23,1
2229,30-05-2015,14,2
2188,15-08-2015,12,3
1547,18-04-2015,62,3
1649,30-06-2015,17,2
3254,10-09-2015,9,2
2818,07-11-2015,1,3
2703,08-05-2015,25,3
3332,31-01-2015,22,2
2473,01-07-2015,57,1
2810,30-12-2015,9,1
1033,22-04-2015,1,2
4222,27-05-2015,1,1
3679,21-09-2015,7,2
2212,27-08-2015,21,1
1507,22-06-2015,10,1
2870,21-01-2015,10,3
3429,26-04-2015,9,3
4148,09-04-2015,25,1
2970,30-12-2015,30,1
2013,30-08-2015,13,3
3967,30-05-2015,46,3
2885,15-05-2015,7,3
3935,02-07-2015,19,2
3283,01-05-2015,2,1
3268,06-11-2015,25,3
3677,30-04-2015,7,1
3495,27-06-2015,63,2
1410,04-10-2015,7,2
2440,06-06-2015,19,3
4088,13-01-2015,10,2
2469,23-09-2015,21,1
4229,06-03-2015,19,3
2728,02-08-2015,8,1
4694,25-01-2015,7,1
2836,29-12-2015,64,2
1311,12-02-2015,65,2
1760,23-01-2015,44,2
3656,02-03-2015,8,2
3720,28-05-2015,19,2
2996,26-09-2015,9,3
1949,22-07-2015,25,1
4498,11-02-2015,50,1
2447,28-12-2015,66,1
1952,23-03-2015,1,1
4099,27-01-2015,17,2
1804,12-03-2015,8,1
1510,16-05-2015,19,3
2879,18-04-2015,67,3
4899,12-03-2015,10,1
4326,29-09-2015,23,1
1670,17-05-2015,58,3
1117,24-05-2015,57,3
1346,03-04-2015,4,2
1178,15-11-2015,17,3
1649,25-06-2015,1,2
4651,21-06-2015,68,2
4243,02-04-2015,19,2
4429,21-07-2015,40,2
4645,25-07-2015,69,2
4019,24-07-2015,5,1
4459,26-04-2015,1,3
3006,27-12-2015,10,2
1834,17-09-2015,9,3
3236,04-07-2015,26,3
1765,11-03-2015,70,2
3855,09-03-2015,1,1
4392,28-11-2015,29,2
3330,26-07-2015,21,1
1723,02-09-2015,18,3
4110,30-03-2015,38,1
2600,28-01-2015,18,1
2946,07-10-2015,38,1
2426,08-09-2015,17,3
4170,03-05-2015,19,3
1109,06-04-2015,7,1
3429,04-01-2015,71,1
2055,04-02-2015,44,2
2480,20-09-2015,9,1
2441,30-05-2015,19,2
1054,04-10-2015,9,1
4818,11-01-2015,72,2
3379,21-01-2015,73,3
3939,10-02-2015,45,1
1367,05-08-2015,4,1
1043,10-01-2015,7,1
2231,17-10-2015,9,1
3235,28-12-2015,22,2
4554,16-07-2015,1,1
3245,24-01-2015,8,3
2996,19-05-2015,26,3
2507,05-01-2015,25,1
4186,25-10-2015,74,3
3929,28-04-2015,22,1
3760,22-11-2015,2,1
4928,18-08-2015,8,3
4217,18-12-2015,75,1
1174,11-02-2015,5,3
4103,19-06-2015,2,2
4408,13-03-2015,2,1
2588,28-12-2015,7,2
2598,11-11-2015,24,3
1518,11-12-2015,9,2
2702,08-04-2015,1,2
1001,20-01-2015,9,3
2270,30-09-2015,26,2
2838,10-11-2015,5,2
1683,26-05-2015,22,3
4040,03-04-2015,18,2
3897,23-08-2015,4,3
2200,11-03-2015,26,2
4073,29-01-2015,26,3
3700,19-04-2015,4,3
3973,10-06-2015,5,2
2715,06-07-2015,29,2
3967,23-11-2015,2,2
4002,03-09-2015,1,1
2962,01-03-2015,17,1
4340,25-12-2015,16,1
2092,06-11-2015,44,3
3143,24-05-2015,27,2
2209,03-10-2015,50,3
2816,22-08-2015,66,1
2659,01-06-2015,21,2
1588,13-10-2015,19,3
1144,15-10-2015,59,2
2166,10-12-2015,19,3
3300,06-10-2015,21,2
3944,03-01-2015,66,1
4979,24-04-2015,27,1
2630,21-01-2015,71,2
4240,29-04-2015,18,3
2357,08-07-2015,38,1
1743,18-04-2015,76,1
2331,15-02-2015,19,1
1643,28-04-2015,18,2
1291,20-03-2015,69,2
3675,04-07-2015,2,3
4134,06-11-2015,57,3
1363,21-06-2015,77,3
4212,01-05-2015,4,2
1500,21-03-2015,2,2
2622,01-10-2015,4,3
3543,18-03-2015,1,3
2525,24-05-2015,78,2
1264,12-10-2015,15,3
3601,06-07-2015,58,1
1771,23-03-2015,9,2
4694,06-02-2015,25,3
1122,21-12-2015,17,2
3507,12-08-2015,4,1
4524,26-04-2015,7,2
3612,27-09-2015,19,2
3262,11-06-2015,69,2
1897,25-01-2015,23,2
1656,30-10-2015,79,1
3953,10-01-2015,23,2
1488,21-06-2015,8,2
1652,17-03-2015,4,3
4953,16-09-2015,10,2
3445,30-04-2015,38,3
3180,15-03-2015,2,1
4934,06-09-2015,5,1
2980,27-04-2015,50,1
2763,13-02-2015,22,1
4819,04-03-2015,24,3
3169,02-07-2015,26,2
1850,11-03-2015,7,1
4285,29-12-2015,2,2
4366,13-08-2015,38,3
2253,16-06-2015,17,3
3398,11-03-2015,1,3
2215,22-07-2015,80,1
3737,03-03-2015,17,2
2649,28-11-2015,14,2
3203,07-08-2015,7,2
4261,16-02-2015,17,3
2435,17-07-2015,66,1
2046,21-08-2015,51,3
4267,11-02-2015,8,3
1086,28-12-2015,5,2
1992,04-01-2015,8,3
3622,26-07-2015,38,2
4700,27-06-2015,27,1
2272,16-05-2015,5,2
1663,19-05-2015,23,1
2519,03-06-2015,38,2
2639,30-10-2015,19,3
1466,19-04-2015,8,3
4122,23-10-2015,2,1
3598,15-04-2015,23,1
3097,10-08-2015,26,1
1873,19-09-2015,19,2
1537,01-02-2015,17,2
3960,25-03-2015,1,1
1136,15-06-2015,37,3
2453,21-12-2015,18,2
1746,15-02-2015,81,2
3572,09-06-2015,53,2
3246,24-06-2015,27,1
3207,26-11-2015,50,1
1042,12-02-2015,8,1
1176,30-03-2015,2,1
3054,23-02-2015,9,1
4486,02-12-2015,9,3
1580,05-12-2015,4,3
1623,02-11-2015,9,1
4169,24-11-2015,2,2
2254,24-01-2015,9,1
4095,01-11-2015,4,3
1264,17-11-2015,17,3
3375,06-01-2015,23,2
3242,23-05-2015,17,3
2227,07-06-2015,4,1
3847,03-12-2015,21,2
3897,31-05-2015,21,1
1799,27-09-2015,71,1
2920,26-04-2015,2,2
3713,31-01-2015,58,1
4230,05-11-2015,24,3
1455,18-03-2015,29,1
3687,18-03-2015,9,2
3869,01-08-2015,19,2
2988,14-10-2015,50,2
4242,30-03-2015,17,1
4118,24-12-2015,57,2
4996,24-10-2015,51,2
4489,04-03-2015,4,1
1199,09-11-2015,49,3
4108,12-05-2015,29,1
3484,05-06-2015,15,2
1239,31-08-2015,20,2
4839,19-12-2015,2,1
4748,07-05-2015,5,3
4426,06-06-2015,50,2
3571,11-12-2015,82,2
2852,08-06-2015,7,2
3638,26-05-2015,23,1
3635,10-03-2015,4,2
2723,07-05-2015,56,3
3495,11-03-2015,2,2
2813,16-11-2015,3,2
2799,02-09-2015,35,3
4723,22-05-2015,1,2
3313,08-04-2015,22,1
4748,15-12-2015,38,1
2991,16-02-2015,2,1
1483,01-04-2015,1,3
3950,01-10-2015,83,2
1634,16-01-2015,20,1
2694,21-11-2015,1,3
2707,18-10-2015,69,2
2813,16-07-2015,27,3
2276,11-01-2015,38,1
4726,06-02-2015,2,1
4353,25-05-2015,50,1
4017,13-08-2015,23,3
1422,21-08-2015,4,3
2714,15-03-2015,18,1
2769,21-07-2015,43,3
4166,30-04-2015,17,1
3614,02-03-2015,7,1
4361,05-09-2015,21,2
1922,22-09-2015,13,3
4728,06-09-2015,4,1
3646,08-08-2015,38,1
1155,10-08-2015,2,3
2119,11-06-2015,37,2
1602,29-08-2015,7,2
1074,24-06-2015,28,1
2256,11-04-2015,84,3
1348,17-09-2015,38,2
3806,28-08-2015,1,3
1711,06-06-2015,38,3
3959,12-04-2015,83,1
1590,15-08-2015,27,2
1962,08-06-2015,1,1
1766,21-01-2015,23,2
2551,21-10-2015,7,2
2294,23-09-2015,9,2
4531,29-05-2015,9,2
2957,12-04-2015,9,2
4415,27-01-2015,4,3
1476,26-08-2015,18,1
3978,23-07-2015,19,3
2062,22-09-2015,2,2
3252,28-06-2015,3,1
3922,24-06-2015,2,2
1491,17-10-2015,22,1
3526,26-08-2015,66,3
4060,11-12-2015,53,1
1067,08-04-2015,21,1
2840,27-01-2015,68,1
4484,27-11-2015,5,1
2353,07-02-2015,25,1
3130,18-02-2015,25,2
4273,14-06-2015,4,1
4565,30-12-2015,25,1
2504,14-08-2015,45,3
4127,23-10-2015,11,1
2690,01-04-2015,4,3
4129,22-09-2015,2,2
4511,29-06-2015,8,1
1602,04-08-2015,19,3
4369,01-02-2015,38,3
1302,29-09-2015,12,2
3326,30-04-2015,5,1
2066,21-05-2015,3,1
3483,15-01-2015,75,3
2840,12-02-2015,49,1
1807,18-05-2015,21,3
2067,12-08-2015,22,1
3783,17-02-2015,25,3
2884,04-01-2015,75,1
2908,15-03-2015,25,2
1330,10-07-2015,44,1
2293,08-05-2015,5,1
3718,20-05-2015,21,2
4338,25-01-2015,3,1
3486,08-11-2015,25,2
3635,04-09-2015,40,1
2857,18-02-2015,22,3
3684,13-08-2015,7,3
3120,20-10-2015,85,1
3872,19-03-2015,9,1
2777,07-04-2015,2,1
2702,27-05-2015,23,3
4796,29-06-2015,10,1
1564,23-10-2015,19,3
2740,02-07-2015,15,2
1833,13-04-2015,74,3
1757,23-12-2015,22,3
2975,24-10-2015,5,2
4032,10-08-2015,4,3
3979,16-09-2015,7,1
3772,09-03-2015,2,1
4523,28-10-2015,9,3
4004,19-04-2015,27,1
2936,08-06-2015,29,3
2394,21-06-2015,25,1
4616,16-08-2015,25,1
2362,08-07-2015,25,3
3593,03-11-2015,3,1
4389,27-08-2015,23,3
3206,11-08-2015,86,1
4601,04-01-2015,3,1
4382,13-11-2015,8,2
2718,08-06-2015,19,2
4691,12-10-2015,87,3
3735,28-11-2015,38,2
3900,20-12-2015,1,3
4959,30-06-2015,4,2
1815,30-08-2015,8,1
2454,08-04-2015,57,3
4778,15-01-2015,57,3
2289,04-11-2015,17,1
1734,13-07-2015,5,3
4019,05-02-2015,24,3
4605,28-05-2015,23,2
4864,14-11-2015,3,3
4205,22-02-2015,8,1
1862,03-08-2015,8,2
1846,19-07-2015,5,2
2019,28-05-2015,7,1
2042,19-11-2015,57,1
1768,26-05-2015,49,2
3847,26-03-2015,8,3
3557,20-07-2015,29,2
3975,27-02-2015,21,1
4198,18-03-2015,8,2
2580,04-09-2015,8,1
3474,25-08-2015,22,2
1678,14-11-2015,7,3
4254,14-08-2015,18,2
4704,21-08-2015,1,2
3343,10-05-2015,9,1
3812,24-06-2015,8,1
3093,13-03-2015,71,1
2170,18-06-2015,25,2
4867,29-10-2015,5,3
3899,23-03-2015,4,1
2941,03-10-2015,21,1
1958,03-07-2015,21,2
2760,08-08-2015,9,1
4413,03-08-2015,50,3
1737,15-05-2015,1,3
4202,18-02-2015,38,1
1065,13-11-2015,9,1
3819,28-06-2015,10,2
2854,08-02-2015,27,3
4387,16-09-2015,2,3
4530,12-04-2015,70,1
4191,03-11-2015,1,2
3102,04-12-2015,57,3
1946,25-01-2015,60,3
2156,15-05-2015,44,2
1444,16-12-2015,5,2
1699,14-05-2015,7,3
4954,04-05-2015,2,3
2207,08-04-2015,9,2
4826,28-01-2015,29,3
2374,08-06-2015,9,1
1604,18-08-2015,19,1
4437,29-11-2015,69,2
2319,10-05-2015,2,2
3018,27-06-2015,5,2
1195,28-09-2015,2,1
1768,04-09-2015,19,3
3017,28-09-2015,45,1
3384,29-11-2015,17,3
1918,30-01-2015,8,1
2524,17-10-2015,9,3
2798,17-06-2015,10,1
2096,25-01-2015,19,2
1489,13-03-2015,23,1
1431,20-07-2015,18,3
2747,05-07-2015,2,1
3054,22-03-2015,9,1
2691,09-10-2015,8,1
1752,19-04-2015,3,2
3027,15-09-2015,19,1
4452,17-06-2015,24,2
4129,13-08-2015,10,2
3523,09-11-2015,22,1
2128,11-02-2015,2,1
4867,03-02-2015,39,1
4762,30-10-2015,5,3
1632,29-05-2015,88,1
4018,17-11-2015,18,2
1722,13-07-2015,1,1
1438,19-10-2015,1,3
3958,27-10-2015,45,1
3292,13-09-2015,8,3
2861,23-02-2015,2,3
1757,24-02-2015,23,1
1509,30-12-2015,4,2
2364,11-05-2015,5,3
3084,26-10-2015,9,1
1850,17-02-2015,18,1
1949,17-03-2015,2,2
4740,02-10-2015,17,3
1072,23-10-2015,9,3
4196,09-07-2015,5,1
4814,13-09-2015,2,1
1514,28-02-2015,5,2
4584,25-10-2015,10,2
2751,03-02-2015,1,3
4155,24-09-2015,19,3
4670,11-10-2015,19,1
4566,27-07-2015,9,3
2371,30-08-2015,64,2
3442,14-11-2015,5,2
3090,27-09-2015,25,1
1457,09-01-2015,18,2
4952,08-04-2015,74,2
3165,11-01-2015,5,2
2608,19-09-2015,5,2
2040,07-10-2015,49,1
1327,09-08-2015,5,1
3363,07-01-2015,5,3
1731,09-09-2015,50,2
2760,02-08-2015,7,3
3120,14-01-2015,17,1
1332,30-04-2015,24,1
4530,12-09-2015,69,1
3145,23-02-2015,8,1
1099,13-08-2015,89,1
3188,06-12-2015,1,1
3748,13-10-2015,13,1
4655,31-03-2015,2,2
1827,01-05-2015,57,3
2485,17-02-2015,66,1
4683,15-01-2015,9,2
4358,06-11-2015,8,2
1931,09-10-2015,8,3
2490,18-12-2015,19,1
4842,08-12-2015,10,3
4616,01-01-2015,25,1
2810,22-09-2015,19,2
2785,18-10-2015,1,2
3591,20-07-2015,9,2
3896,10-09-2015,19,2
3842,01-07-2015,8,3
2648,10-07-2015,1,1
4688,02-10-2015,18,1
3511,26-08-2015,9,3
3084,04-09-2015,50,1
3810,07-05-2015,40,2
4348,26-02-2015,49,1
3584,10-03-2015,45,2
2620,11-06-2015,58,3
2716,18-01-2015,19,1
3797,10-08-2015,4,3
2976,02-06-2015,51,1
2762,07-11-2015,90,2
3752,25-04-2015,25,3
1659,30-11-2015,27,1
4109,08-02-2015,26,2
1542,07-08-2015,23,3
2068,07-06-2015,9,3
4509,14-06-2015,23,1
4646,14-06-2015,9,1
2122,07-04-2015,91,1
2730,15-06-2015,10,2
1800,31-07-2015,92,1
1456,18-09-2015,5,3
1138,02-09-2015,2,3
4104,12-06-2015,23,1
4985,28-02-2015,5,1
3181,13-12-2015,40,3
3178,21-10-2015,9,2
1688,10-11-2015,48,1
1488,28-11-2015,66,1
4975,08-05-2015,1,3
4697,09-01-2015,4,1
4742,11-01-2015,29,2
2640,22-04-2015,4,3
2548,25-12-2015,45,1
2825,29-12-2015,19,3
2592,04-07-2015,25,1
3622,28-12-2015,29,1
4852,21-08-2015,13,1
1839,03-09-2015,57,2
2413,04-04-2015,2,2
2982,14-06-2015,25,3
1981,31-10-2015,10,1
4440,21-09-2015,5,1
3497,24-11-2015,82,2
3668,18-12-2015,22,1
4460,28-05-2015,24,2
1335,16-01-2015,9,1
4303,07-12-2015,10,3
3508,28-02-2015,91,1
1959,19-03-2015,7,1
3856,06-03-2015,19,2
3141,29-07-2015,22,1
4640,25-09-2015,22,1
4851,25-05-2015,50,2
3306,22-09-2015,9,3
2193,08-04-2015,22,3
1156,13-09-2015,26,2
4596,08-04-2015,21,2
1245,08-10-2015,1,2
1515,05-07-2015,9,2
2564,14-07-2015,9,2
4527,18-10-2015,38,3
2487,09-07-2015,58,3
3420,27-02-2015,8,2
4442,28-11-2015,2,1
3164,30-04-2015,23,2
3601,01-04-2015,2,1
3176,25-05-2015,50,2
2568,22-07-2015,23,2
1856,26-10-2015,22,3
3859,30-09-2015,25,1
1668,21-08-2015,7,1
4499,23-08-2015,3,3
1753,21-08-2015,22,3
3829,25-06-2015,1,3
4825,08-01-2015,8,3
3694,10-11-2015,10,1
4147,02-01-2015,7,1
2196,09-10-2015,57,2
2229,22-05-2015,60,2
4724,03-09-2015,7,3
3066,11-10-2015,15,3
1120,08-06-2015,57,3
4769,22-08-2015,7,2
4711,17-09-2015,9,2
2391,22-06-2015,7,2
1216,04-03-2015,30,2
3154,14-05-2015,7,2
3911,30-07-2015,19,2
3111,15-10-2015,44,2
1385,26-11-2015,2,3
1158,21-03-2015,18,3
2733,22-07-2015,18,3
4999,26-12-2015,17,3
2882,12-06-2015,26,2
2590,25-06-2015,13,1
4249,04-08-2015,9,2
3012,03-05-2015,93,1
1533,07-11-2015,7,3
1667,12-01-2015,8,2
4323,13-05-2015,2,3
2087,22-02-2015,4,2
1853,31-05-2015,8,3
2157,29-10-2015,42,1
1136,29-10-2015,4,1
2049,07-10-2015,1,1
3122,02-05-2015,27,2
2245,15-05-2015,19,1
4746,18-10-2015,57,2
4224,24-02-2015,10,1
4219,19-03-2015,26,1
2641,01-01-2015,36,2
3173,25-07-2015,74,2
2191,19-10-2015,8,1
4212,07-04-2015,10,2
1902,01-12-2015,10,1
1347,27-03-2015,8,2
1578,23-06-2015,13,3
1264,23-11-2015,35,3
4632,30-09-2015,9,3
3452,01-11-2015,26,3
4822,10-02-2015,17,3
3987,18-06-2015,19,1
1672,07-10-2015,2,3
4864,01-12-2015,58,3
3368,09-03-2015,9,3
1283,22-09-2015,22,3
4428,28-06-2015,19,2
2577,25-10-2015,19,1
1973,24-10-2015,8,3
3284,23-01-2015,12,3
1905,19-05-2015,35,3
2226,09-03-2015,26,1
1932,04-09-2015,18,2
4506,11-08-2015,23,1
1843,27-11-2015,50,2
3973,27-07-2015,45,3
1651,28-07-2015,8,3
3997,12-10-2015,23,1
4796,25-08-2015,83,1
1245,24-09-2015,40,2
3579,17-08-2015,94,2
4387,10-02-2015,22,1
2496,29-06-2015,10,2
3590,28-03-2015,10,1
2890,26-04-2015,42,2
1401,27-01-2015,25,1
3297,21-05-2015,4,1
2867,23-12-2015,10,1
1365,20-05-2015,4,2
2355,24-07-2015,1,2
1170,19-03-2015,2,2
3554,21-03-2015,8,1
4171,26-01-2015,19,2
3963,17-09-2015,2,2
3076,08-12-2015,5,1
1629,17-05-2015,7,3
1366,30-05-2015,2,1
3677,29-07-2015,24,2
2844,21-05-2015,1,1
4509,28-09-2015,76,3
3245,11-05-2015,38,1
2294,22-06-2015,29,2
1234,20-11-2015,80,3
3001,24-12-2015,2,2
3587,05-08-2015,22,3
2700,22-01-2015,38,3
3838,14-12-2015,45,1
4045,22-12-2015,17,1
1858,25-04-2015,13,2
2280,11-01-2015,1,1
2454,06-04-2015,29,1
4437,09-10-2015,23,3
1685,30-03-2015,49,1
2349,26-02-2015,19,3
1463,24-12-2015,19,3
3470,19-02-2015,22,3
4914,29-11-2015,2,2
2448,31-08-2015,9,2
3387,10-05-2015,38,2
3167,04-11-2015,38,3
3175,17-03-2015,9,2
2678,21-09-2015,26,2
4627,18-12-2015,25,1
1773,17-10-2015,9,2
3100,23-05-2015,9,2
3232,29-05-2015,26,3
3673,12-08-2015,9,3
4068,19-11-2015,44,3
2340,07-10-2015,95,3
1930,01-03-2015,1,3
3526,02-06-2015,8,3
1617,10-02-2015,5,2
1028,11-07-2015,53,3
4440,01-12-2015,43,3
3554,23-07-2015,7,1
1632,15-12-2015,66,2
1429,07-02-2015,2,2
1225,20-05-2015,68,2
2509,15-07-2015,21,3
4945,02-08-2015,4,3
4342,18-03-2015,2,3
1832,28-09-2015,23,1
1518,21-06-2015,1,3
1512,20-09-2015,10,1
4818,20-03-2015,4,2
4686,19-08-2015,19,3
4986,01-02-2015,2,1
2755,06-02-2015,5,1
4532,29-11-2015,96,3
2070,16-08-2015,58,2
1894,09-05-2015,45,2
3473,25-01-2015,2,2
2140,28-09-2015,66,1
3286,23-12-2015,48,1
4729,08-04-2015,72,1
3204,20-02-2015,1,1
1574,18-04-2015,4,2
3361,22-07-2015,14,3
1776,25-02-2015,58,1
2009,11-10-2015,1,1
3479,24-03-2015,9,2
2394,22-11-2015,11,3
1337,25-12-2015,4,3
3574,13-06-2015,1,2
1727,18-07-2015,7,2
1016,05-10-2015,64,3
4326,21-01-2015,8,1
2212,22-09-2015,45,3
1990,01-08-2015,7,2
3836,06-12-2015,18,1
4560,01-07-2015,50,1
1119,04-02-2015,40,2
1379,18-05-2015,23,2
1658,03-09-2015,19,2
2948,16-06-2015,9,3
1273,04-05-2015,97,3
1155,27-12-2015,9,1
1672,05-02-2015,3,2
3841,02-04-2015,9,1
1683,20-08-2015,2,1
1774,07-08-2015,69,1
4441,17-06-2015,13,1
1929,02-05-2015,10,2
1273,31-01-2015,23,1
2920,11-10-2015,7,2
2467,18-04-2015,98,2
2678,28-11-2015,60,3
3423,02-06-2015,19,2
4223,19-07-2015,7,3
2846,23-09-2015,4,2
4103,26-07-2015,10,2
4789,02-05-2015,58,2
4916,26-02-2015,23,3
